Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Animal,Bird,American kestrel,First observation,-,-,-,-,-,-,-,3/18,-,4/30,-,3/29,3/22,
Animal,Bird,American redstart,First observation,-,-,-,-,-,-,-,-,-,5/14,-,-,-,
Animal,Bird,American wood duck,First observation,3/31,3/24,-,-,-,-,-,-,-,-,3/21,5/28,-,
Animal,Bird,American woodcocks,First observation,-,-,-,-,-,-,-,-,-,3/20,-,4/23,-,
Plant,Plant,Amur tree lilac (Syringa amurensis),First observation,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Apple,Blooming,-,-,5/15,5/1,-,-,5/6,-,-,-,-,4/4,-,
Plant,Plant,Aspen,Blooming,-,-,-,-,-,4/17,-,-,-,-,-,3/29,-,
Plant,Plant,Aspen,Catkins expanding,4/4,-,-,-,4/8,-,-,-,-,-,-,-,-,
Animal,Bird,Baltimore orioles,First observation,-,-,-,-,-,-,-,-,-,5/11,5/6,-,-,
Animal,Bird,Barn swallow,First observation,-,-,-,-,-,-,-,-,-,5/1,4/25,-,-,
Animal,Rodent,Beaver,First observation,-,-,-,-,-,10/25,-,-,-,-,-,-,-,
Plant,Plant,Bellwort,First observation,4/18,4/28,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Big Chickweed (Star Chickweed - Stellaria pubera),First observation,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Bishop's cap,First observation,4/30,5/12,-,-,-,-,5/7,-,-,-,-,-,-,
Animal,Bird,Black and white warbler,First observation,-,-,-,-,-,-,-,-,-,5/5,5/12,-,-,
Animal,Bird,Black billed cuckoo,First observation,-,-,-,-,-,-,-,-,-,-,6/2,-,-,
Plant,Plant,Black cherry,Leafing out,-,-,-,-,-,-,-,-,-,-,-,4/5,-,
Animal,Insect,Black fly,First observation,-,-,-,-,4/7,-,-,-,-,-,-,-,-,
Plant,Plant,Black locust,Blooming,5/27,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Black mustard,First observation,4/27,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Black mustard,Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Black raspberry,First observation,-,-,-,-,7/15,-,-,-,-,-,-,-,-,
Animal,Bird,Black throated blue warbler,First observation,-,-,-,-,-,-,-,-,-,5/15,5/3,-,-,
Animal,Bird,Black throated green warbler,First observation,-,-,-,-,-,-,-,-,-,5/5,-,-,-,
Animal,Bird,Blackburnian warbler,First observation,-,-,-,-,-,-,-,-,-,5/15,-,-,-,
Plant,Plant,Bloodroot,First observation,-,-,4/24,-,4/14,-,-,-,-,-,-,-,-,
Plant,Plant,Bloodroot,Blooming,4/13,4/14,-,-,-,4/25,-,4/25,4/24,4/27,-,-,-,
Plant,Plant,Blue cohosh,First observation,4/18,-,-,-,-,-,4/18,-,-,4/18,-,-,-,
Animal,Bird,Blue grey gnatcatcher,First observation,-,-,-,-,-,-,-,-,-,-,4/22,-,-,
Animal,Bird,Blue winged leafbird,First observation,-,-,-,-,-,-,-,-,-,-,5/25,-,-,
Animal,Bird,Blue winged warbler,First observation,-,-,-,-,-,-,-,-,-,5/14,5/15,-,-,
Plant,Plant,Blueberry bush,Blooming,-,-,-,5/5,-,-,-,-,-,-,-,-,-,
Animal,Bird,Bluebird,First observation,-,-,-,-,-,-,-,-,3/12,-,-,-,-,
Animal,Bird,Bobolink,First observation,-,-,-,-,-,-,-,-,-,5/2,5/3,-,-,
Plant,Plant,Box elder,Buds breaking,4/11,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Reptile,Box turtle (Eastern),Laying eggs,-,-,-,-,-,-,5/6,-,-,-,-,-,-,
Plant,Plant,Brooklime,First observation,5/15,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Brown creeper,First observation,-,-,-,-,-,-,-,-,-,-,5/3,-,-,
Animal,Bird,Brown thrasher,First observation,-,-,-,-,-,-,-,-,-,5/16,-,-,-,
Plant,Plant,Bulbous buttercup,Blooming,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Reptile,Bullfrog,First observation,-,-,-,-,-,-,-,-,-,-,5/20,-,-,
Animal,Reptile,Bullfrog,First observation,-,5/6,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Burning bush,Buds swelling,3/18,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Canada geese/goose,First observation,-,-,3/28,3/15,10/5,-,-,3/25,3/14,3/26,-,2/24,-,
Animal,Bird,Canada geese/goose,Migrating,-,-,-,-,-,-,-,-,-,9/24,-,-,-,
Plant,Plant,Canada violet,First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Cape may warbler,First observation,-,-,-,-,-,-,-,-,-,5/15,-,-,-,
Animal,Bird,Cardinals,Spring song,-,-,2/20,1/31,2/3,2/11,-,2/28,2/23,-,4/25,-,-,
Animal,Bird,Cardinals,First observation,4/14,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Catbird,First observation,-,-,-,-,-,-,-,-,-,5/2,5/4,4/23,-,
Animal,Insect,Caterpillar,Hatching,-,-,-,-,-,-,5/14,-,-,-,-,-,-,
Animal,Insect,Caterpillar,First observation,-,-,-,-,-,-,-,-,-,-,-,4/6,-,
